,ENV,Step,EXPLORE,Reward,ACTION-BUFFER-SIZE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,FRAMESTACK,M,TIME-SIG,SEED,simple,rainbow,human,random,ARK2,normalized_reward
118,amidar,20000,inverse,96.28,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.052798039330104456
119,amidar,20000,mean,91.28,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.04988037579506331
120,amidar,22500,best fixed,118.44000000000001,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06572912411740679
121,amidar,22500,inverse,110.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.060920814611658984
122,amidar,22500,mean,97.12,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.053288206803991364
123,amidar,25000,best fixed,132.92,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.07417867771488591
124,amidar,25000,inverse,111.24000000000001,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.061527688626947546
125,amidar,25000,mean,108.75999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06008052751356713
126,amidar,27500,best fixed,139.04000000000002,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.07774989788177628
127,amidar,27500,inverse,113.12,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06262473011612302
128,amidar,27500,mean,112.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06197117348427379
129,amidar,30000,best fixed,156.44,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.08790336698371942
130,amidar,30000,inverse,110.75999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06124759292758358
131,amidar,30000,mean,110.52000000000001,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06110754507790162
132,amidar,32500,best fixed,159.48,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.08967730641302443
133,amidar,32500,inverse,110.71999999999998,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.061224251619303255
134,amidar,32500,mean,113.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06278811927408531
135,amidar,35000,best fixed,156.64000000000001,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.08802007352512108
136,amidar,35000,inverse,123.12,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06846005718620529
137,amidar,35000,mean,115.16,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06381513683841979
138,amidar,37500,best fixed,161.52,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.09086771313532123
139,amidar,37500,inverse,131.16,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.07315166015055144
140,amidar,37500,mean,125.08,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.06960378129194142
141,amidar,40000,best fixed,172.16,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.09707650113788877
142,amidar,40000,inverse,134.76000000000002,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.07525237789578106
143,amidar,40000,mean,136.36,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.07618603022699422
144,amidar,42500,best fixed,173.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.09780008169457897
145,amidar,42500,inverse,144.71999999999997,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.08106436365758297
