,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED,simple,rainbow,human,random,normalized_reward
113,45000,520.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.04395571334015284
114,47500,544.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.04756603887117155
115,50000,576.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.05237980624586317
116,52500,644.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.06260906191708286
117,55000,596.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.05538841085504543
118,57500,554.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.049070341175762686
119,60000,662.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.0653168060653469
120,62500,1082.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.1284975028581744
121,65000,1286.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.15918526987183346
122,67500,1468.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.18656357181539204
123,70000,2076.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.2780251519345328
124,72500,2076.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.2780251519345328
125,75000,2074.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.27772429147361455
126,77500,2074.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.27772429147361455
127,80000,2090.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.28013117516096037
128,2500,198.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,-0.004482820867681572
129,5000,262.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.005144713881701665
130,7500,302.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.011161923100066189
