,ACTION-BUFFER-SIZE,ARK2,CLIP-REWARD,DISCOUNT,ENV,EPS-DECAY,EPSILON,EXPLORE,FRAMESTACK,K_ACT,K_EXP,M,PROJECTION,Reward,SEED,STATE-DIM,STICKY-ACTIONS,Step,TIME-SIG,Unnamed: 0,human,normalized_reward,rainbow,random,simple
192,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,220.0,1.5,250.0,,2500,100.0,192,8503.3,0.0012057926277838735,470.8,210.0,1128.3
194,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,345.0,1.5,250.0,,5000,100.0,194,8503.3,0.016278200475082296,470.8,210.0,1128.3
196,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,400.0,1.5,250.0,,7500,100.0,196,8503.3,0.0229100599278936,470.8,210.0,1128.3
198,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,675.0,1.5,250.0,,10000,100.0,198,8503.3,0.05606935719195014,470.8,210.0,1128.3
200,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,740.0,1.5,250.0,,12500,100.0,200,8503.3,0.0639070092725453,470.8,210.0,1128.3
202,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,760.0,1.5,250.0,,15000,100.0,202,8503.3,0.06631859452811306,470.8,210.0,1128.3
204,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,860.0,1.5,250.0,,17500,100.0,204,8503.3,0.0783765208059518,470.8,210.0,1128.3
206,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,942.5,1.5,250.0,,20000,100.0,206,8503.3,0.08832430998516876,470.8,210.0,1128.3
208,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1007.5,1.5,250.0,,22500,100.0,208,8503.3,0.09616196206576394,470.8,210.0,1128.3
210,80000.0,1304.0,,0.95,asterix,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1132.5,1.5,250.0,,25000,100.0,210,8503.3,0.11123436991306236,470.8,210.0,1128.3
